r_kpc,rho_Msun_pc3,ratio_rho_over_rhoc,Phi_TEG,deviation_from_GR_abs,regime,rho_c_Msun_pc3,rho_transition_threshold
0.050000,13455.263636,13431036.6941,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.055912,11341.694170,11321272.8259,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.061824,9680.002280,9662572.9040,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.067735,8348.810655,8333778.1630,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.073647,7265.465876,7252384.0058,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.079559,6371.925519,6360452.5170,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.085471,5626.361279,5616230.7066,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.091383,4997.956087,4988956.9927,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.097295,4463.567565,4455530.6661,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.103206,4005.524264,3998312.0979,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.109118,3610.132316,3603632.0740,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.115030,3266.640458,3260758.6925,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.120942,2966.508349,2961166.9878,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.126854,2702.880021,2698013.3370,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.132766,2470.198893,2465751.1641,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.138677,2263.922207,2259845.8907,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.144589,2080.306435,2076560.7291,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.150501,1916.244089,1912793.7867,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.156413,1769.138265,1765952.8347,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.162325,1636.805224,1633858.0659,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.168236,1517.398043,1514665.8843,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.174148,1409.346272,1406808.6670,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.180060,1311.307852,1308946.7700,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.185972,1222.130521,1219930.0080,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.191884,1140.820632,1138766.5219,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.197796,1066.517780,1064597.4566,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.203707,998.474045,996676.2379,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.209619,936.036904,934351.5183,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.215531,878.635096,877053.0648,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.221443,825.766863,824280.0245,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.227355,776.990132,775591.1185,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.233267,731.914264,730596.4117,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.239178,690.193105,688950.3746,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.245090,651.519107,650346.0111,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.251002,615.618324,614509.8694,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.256914,582.246153,581197.7866,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.262826,551.183684,550191.2472,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.268737,522.234569,521294.2571,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.274649,495.222324,494330.6495,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.280561,469.987997,469141.7581,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.286473,446.388147,445584.4005,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.292385,424.293089,423529.1257,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.298297,403.585364,402858.6867,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.304208,384.158406,383466.7073,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.310120,365.915364,365256.5131,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.316032,348.768083,348140.1065,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.321944,332.636194,332037.2640,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.327856,317.446320,316874.7407,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.333768,303.131372,302585.5673,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.339679,289.629922,289108.4269,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.345591,276.885651,276387.1033,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.351503,264.846861,264369.9893,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.357415,253.466029,253009.6496,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.363327,242.699424,242262.4304,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.369238,232.506752,232088.1108,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.375150,222.850846,222449.5903,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.381062,213.697383,213312.6092,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.386974,205.014637,204645.4967,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.392886,196.773246,196418.9450,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.398798,188.946013,188605.8054,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.404709,181.507719,181180.9045,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.410621,174.434958,174120.8782,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.416533,167.705985,167404.0216,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.422445,161.300583,161010.1528,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.428357,155.199935,154920.4892,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.434269,149.386515,149117.5362,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.440180,143.843984,143584.9847,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.446092,138.557098,138307.6186,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.452004,133.511625,133271.2300,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.457916,128.694264,128462.5428,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.463828,124.092577,123869.1415,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.469739,119.694925,119479.4073,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.475651,115.490406,115282.4590,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.481563,111.468805,111268.0991,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.487475,107.620541,107426.7642,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.493387,103.936623,103749.4796,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.499299,100.408609,100227.8178,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.505210,97.028565,96853.8595,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.511122,93.789031,93620.1590,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.517034,90.682991,90519.7109,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.522946,87.703836,87545.9208,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.528858,84.845346,84692.5770,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.534770,82.101654,81953.8252,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.540681,79.467230,79324.1450,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.546593,76.936856,76798.3274,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
